abbreviate	v.缩写；缩短；缩写为；简称
constituent	n.成分；构成要素；（选区的）选民adj.组成的；构成的
majestic	adj.宏伟(的)；威严(的)；从容大方；不可一世
warp	n.经纱v.弯曲；使（行为等）不合情理；使乖戾
requite	v.回报
fiasco	n.惨败；可耻的失败；尴尬的结局
maneuver	n.演习；谨慎或熟练的动作；花招v.巧妙地移动；用计得到
overrule	v.（以权力）否定
bootless	adj.无用的
scaremonger	n.散布恐怖消息的人；制造恐慌的人；危言耸听的人
pupate	v.化蛹
fiat	n.命令v.认可；以命令宣布abbr.〈外(=Fabbrica Italiana Automobile Torine)飞雅特汽车公司
hearken	v.倾听；聆听
winsome	adj.讨人喜欢的；惹人喜爱的；楚楚动人的
hector	n.赫克托耳；虚张声势的人v.吓唬；威吓；欺负；(向…)虚张声势
staunch	adj.忠实的；坚定的v.止住（血等的）流出
revolt	v.反抗；叛逆；违抗；使惊骇n.叛乱；起义；违抗
forfeit	n.罚金；没收物adj.被罚；被没收v.（因犯错）丧失
dapper	adj.矮小利落的；衣冠楚楚的
sophomoric	adj.〈美〉二年级学生(气派)的；幼稚而自大的
snub	v.冷落；怠慢；拒不出席；拒不接受n.冷落；怠慢的言辞（或行为）adj.短平而上翘的
asceticism	n.苦行
offish	adj.〈口〉不亲热的；刚愎的
venom	n.恶毒；怨恨；恶意；（毒蛇、蜘蛛等分泌的）毒液v.放毒
preliminary	adv.预先adj.预备性的；初步的；开始的n.初步行动（或活动）；预备性措施
execrate	v.咒骂；憎恶
interlocutor	n.参加谈话者；对话者；（代表他人的）中间对话者
shriek	v.尖叫；尖声说n.尖叫
wither	v.凋谢；萎缩；消失
scour	n.洗涤剂；洗去；磨擦；疏浚v.（彻底地）搜寻；（用粗糙的物体）擦净；冲刷成；冲刷出
debut	v.初次登台n.处女秀adj.首张的
grimy	adj.沾满污垢的；满是灰尘的
roil	v.搅浑；搅乱；惹怒；动荡
bail	n.保释；【法律】保释金；保释人；(篷帐的)半圆形支撑箍托v.担保；舀；从(船中)戽出水；【法律】准许保释
sham	n.伪装；假象；假情假义；伪善v.假装；冒充adj.虚假的；假装的
suffocate	v.（使）窒息而死；（把…）闷死；让人感觉闷热；憋气
patchwork	n.（不同图案杂色布块的）拼缝物；拼布工艺；拼凑之物
foment	v.激起
winnow	v.风选（以去掉谷壳）
testy	adj.易怒的；暴躁的
ruminative	adj.沉思的；冥思苦想的
elate	adj.〈古〉同“elated”v.使得意
wizen	adj.枯萎的
ecstatic	adj.狂喜的；热情极高的
genesis	n.起源；开端；创始
gossamer	n.蛛丝；薄纱；精细织物adj.薄弱的；幻影似的
belated	adj.迟来的；晚出现的
divest	v.使（某人）脱去（衣服）；处理掉；丢弃；使解除
distill	v.蒸馏；用蒸馏法提取；蒸馏出 (off； out)；提取…的精华
reckless	adj.鲁莽的；不计后果的；无所顾忌的
discharge	v.履行；释放；排出；流出n.出院；执行；退伍；排出（物）
momentum	n.动量；势头；动力；推进力
detour	v.绕道n.弯路；绕行道
unruly	adj.难以控制（或管理）的；难以驾驭的
curt	adj.简短而失礼的；唐突无礼的n.【男名】男子名
puritan	adj.清教徒的；清教主义的；禁欲的；苦行的n.禁欲者；苦行者；清教徒（属于 16 和 17 世纪的英国教会）
aghast	adj.惊恐；惊骇
beatify	v.为（逝者）行宣福礼
doleful	adj.忧郁的；悲伤的
scattershot	adj.扩散很广的；一般的
cloying	v.使过饱；(因享乐等过度而)使(人)腻烦；吃腻；玩腻adj.甜得发腻的；使人腻烦的；（感情过于外露而）令人腻烦的
gall	n.怨恨；鲁莽；厚颜无耻；怨愤v.使愤怒（尤指因不公平引起）
dissident	adj.持不同意见的(人)n.持不同政见者
retort	n.反驳；曲颈甑；曲颈瓶；蒸馏器v.（生气或幽默地）反驳
reprove	v.责备；指责；非难
ingest	v.食入；摄入；咽下
wily	adj.狡猾的；诡计多端的；爱捉弄人的
crass	adj.愚蠢而无同情心的
indict	v.起诉；控告
sojourn	n.逗留；旅居；暂住v.逗留
lobby	n.门厅；休息室；接待室；(表决时分别投票的)投票厅v.〔美国〕(在会议室中)运动议员；运动通过议案；暗中运动；游说
junket	v.旅游；用公费旅行；设宴请客；设宴招待n.（政府官员的）公费旅游
appropriation	n.挪用；占用；盗用；擅自调用
retrieve	v.找回；取回；挽回；索回n.恢复
omen	n.预兆；征兆；前兆v.预告
inextricable	adj.无法分开的；分不开的
bombshell	n.意外消息（常指不幸）；金发美女
abysmal	adj.极坏的；糟透的
behemoth	adj.巨大的n.超级公司（或机构）
parlous	adj.恶劣的；动荡的；危险的adv.非常地；…得吓人
burnish	v.磨光n.光泽；光滑
assimilate	v.吸收；消化；透彻理解；（使）同化
sprawl	n.蔓延；（城市）杂乱无序拓展的地区；随意扩展；蔓延物v.蔓延；伸开四肢坐（或躺）；杂乱无序地拓展
recompense	n.报酬；赔偿；补偿v.给…以补偿；赔偿
bureaucracy	n.官僚主义；官僚作风；官僚体制；实行官僚体制的国家
fustian	adj.粗斜纹布制的；浮夸的；无价值的n.纬起绒布（旧时用作衣料）；浮夸的言语
garland	n.花环；花冠；环状花饰v.用花环装饰；给…饰以花环（或戴上花冠）
persnickety	adj.过于讲究的；挑肥拣瘦的；爱小题大做的；认真对待的
inundate	v.淹没；使不胜负荷；使应接不暇；泛滥
incumbent	n.在职者；现任者adj.在职的；现任的；有责任；必须履行
cognizant	adj.认识；有管辖权的
avocation	n.业余爱好
genre	n.类型
veer	v.改变；突然变向；猛然转向；偏离n.方向的改变
emollient	adj.使平静的；使缓和的；润肤的；护肤的n.润肤剂；润肤霜
desertion	n.遗弃；脱党；逃走；荒废
commotion	n.骚动
swindle	n.诈骗；骗取v.诈骗；骗取
clairvoyant	n.千里眼；视力超人的人；明察秋毫的人adj.视力超人的；有洞察力的
literal	adj.字面意义的；完全按原文的；缺乏想象力的n.【印】错排
stopgap	n.权宜之计；临时替代的东西
halcyon	n.【动】翠鸟；传说中的太平鸟adj.平安幸福的
odd	adj.奇怪的；怪异的；反常的；（某方面）怪异的n.【高】让转弱的对手从打球进一个洞的击球次数中减去一次击球
sanity	n.理智；明智；精神健全；神志正常
seductive	adj.诱人的；迷人的；有魅力的；性感的
militate	v.发生影响；战斗
vain	adj.徒劳的；枉然的；无结果的；自负的
puffery	n.吹嘘；吹捧的广告
rejuvenate	v.使年轻；使更有活力
sublime	adj.崇高的；壮丽的；宏伟的；令人赞叹的n.崇高的事物；壮丽的景象；绝妙的东西v.【化】(使)升华；(使)变得高尚[纯化,理想化]
rally	v.召集；集合；复原；恢复健康n.群众大会（尤指支持某信念或政党）；拉力赛车；（争夺一分的）多拍
boom	n.繁荣；吊杆；（某种体育运动、音乐等）突然风靡的时期；帆桁v.激增；繁荣昌盛；轰鸣；轰响adj.〈美〉猛涨起来的
nihilist	n.虚无主义者
flaunt	v.炫耀；夸耀；夸示；卖弄n.夸耀；招摇；招展
inchoate	adj.初期的；雏形的；不成熟的
jargon	n.行话；术语；俗语；时髦话
bleak	adj.不乐观的；无望的；暗淡的；阴冷的n.【鱼】(淡水产)银鲤
cordial	adj.热情友好的；和蔼可亲的n.（不含酒精、加水饮用的）甜果汁饮料；一杯甜果汁饮料
scramble	n.争夺；争抢；爬；抢占v.争夺；争抢；（迅速而吃力地）爬；抢占
cramp	n.抽筋；痛性痉挛；（腹部）绞痛adj.难懂的；受拘束的；狭窄的v.阻止（发展或进步）
gadfly	n.（为使别人做某事而对其进行骚扰或批评的）讨人厌者
poseur	n.爱表现的人
headstrong	adj.固执的；倔强任性的
compilation	n.编写；编纂；选编；选辑
defraud	v.诈取（…的钱财）
toil	v.跋涉；（长时间）苦干；艰难缓慢地移动n.苦工；劳累的工作
appendage	n.附加物；附属物
aerate	v.使（土壤、水等）透气；充气于（液体）
reprisal	n.报复；报复行动
rabid	adj.极端的；疯狂的；激烈的；患狂犬病的
fictitious	adj.虚构的；虚假的
quandary	n.困惑；进退两难；困窘
beleaguer	v.围困；使烦恼
flimsy	adj.劣质的；不结实的；薄而易损坏的；不足信的n.薄纸；(新闻记者用的)薄纸原稿；电报；〈俚〉钞票
cliquish	adj.有派系成见的；小集团的
seethe	v.翻腾；强压怒火；生闷气；遍布
detritus	n.碎石；碎屑；风化物；残渣
delve	v.钻研；掘n.坑；凹地；井；沟槽
demography	n.人口学；人口统计；人口统计学
influx	n.（人、资金或事物的）涌入
coarse	adj.粗糙的；粗织的；粗的；大颗粒的
peregrination	n.（尤指漫长而缓慢的）旅程
craving	n.渴望；热望；强烈的愿望v.“crave”的现在分词
relic	n.遗迹；遗物；遗风；遗俗
exogenous	adj.外源性的
aplomb	n.沉着；镇定；泰然自若
conscientious	adj.勤勉认真的；一丝不苟的
jaundiced	adj.（尤指因以前的经历）有偏见的；患黄疸病的v.“jaundice”的过去式
panorama	n.全景；综合研究；全景画卷
pauper	n.乞丐；穷人；贫民
slog	v.埋头苦干；坚持不懈地做；顽强地走；奋力前行n.一段时间的艰苦工作（或努力）
deficit	n.赤字；逆差；亏损；不足额
succor	n.救援；援助者；〈美〉同“succour”；〈古〉援军v.救济
reify	v.【哲】使(抽象的概念)具体化
naysayer	n.反对者；老爱唱反调的人
laughingstock	n.笑柄
camaraderie	n.友情；同志间的情谊
offhand	adv.未经核实地；不假思索地；即席地adj.漫不经心的；不在乎的
charlatan	n.骗子；假充内行的人adj.假充内行的
lucubration	n.(在灯下)刻苦钻研；苦思冥想；苦心孤诣之作；〈谑〉学究气的作品
disclaim	v.公开否认；拒绝承认；放弃（财产、头衔等的）权利
panic	adj.恐慌的；(恐慌心理)没来由的；过度的；牧人之神的n.惊恐；恐慌；人心惶惶的局面；惶恐不安v.惊慌失措
offshoot	n.分支；（尤指）分支机构；蘗枝；分枝
condign	adj.适当的；应得的
overdraw	v.透支
recollection	n.回忆；记忆；记忆力；往事
multifaceted	adj.多方面的；要从多方面考虑的
cosset	v.宠爱；溺爱n.宠物(小羊)
eviscerate	v.切除内脏；切除…的内部器官
emendation	n.校订；校订的内容；修改的意见
preachy	adj.说教的；劝诫的
falter	v.蹒跚；畏缩；衰弱；衰退n.结巴；踌躇；不稳；摇晃
emulsify	v.（使）乳化
rebut	v.反驳；驳斥；证明（言论等）错误
postulate	n.假设；基本原理；〈正式〉先决条件；前提v.假设；〈正式〉假定；提出要求；〈罕〉【法】辩护
sapiential	adj.有智慧的；使人增长智慧的
saccharine	adj.情感过分强烈而显夸张的；故作多情的n.糖精
epic	n.史诗；叙事诗；史诗般的电影（或书）；壮举adj.具有史诗性质的；史诗般的；漫长而艰难的；艰苦卓绝的
piecemeal	adj.逐渐做成（或发生）的；零敲碎打的；零散的adv.一件一件n.断片
acquaintance	n.熟人；泛泛之交；认识的人；（与某人）认识
disentangle	v.理顺；使解脱；使脱出；使摆脱
harangue	n.(对公众集会作的)长篇大论的演说；高谈阔论；冗长的说教文章；叱责v.(向…)作长篇大论的演说；(向…)高谈阔论
unrelenting	adj.持续的；不缓和的；势头不减的；不留情的
pawn	v.典当；质押n.卒；被利用的人；走卒
appall	v.使胆寒
preside	v.主持（会议、仪式等）；担任（会议）主席
denude	v.剥光；使裸露；使光秃
teem	v.倾注；倾泻
disequilibrium	n.不平衡；失衡
aspersion	n.中伤；【天主】洒圣水
maelstrom	n.大旋涡；（思想、感情、事态的）混乱
gargantuan	adj.巨大的；庞大的
confide	v.（向某人）吐露（秘密、隐私等）
abortive	adj.流产的；【药】打胎的；【生】发育不全的；【医】使病程中断的
coax	vt.哄骗；劝诱；诱骗 n.同轴电缆
scourge	v. 折磨；鞭打； n. 灾祸；鞭子；苦难的根源
agitate	v.搅动；鼓动；激怒；使不安
defray	v.支付
jest	v.开玩笑；说笑话n.笑话；玩笑；俏皮话；打趣
refrain	v.避免；克制；节制n.副歌；经常重复的评价（或抱怨）；迭歌；迭句
zealot	n.狂热者
vagary	n.狂妄古怪的行为；怪想；变幻莫测
envisage	v.设想；想象；展望
lax	adj.不严格的；不严厉的；马虎的；松弛的n.【动】(挪威、瑞典的)鲑；泻肚
kindred	n.亲属；亲属关系；血缘关系adj.类似的；相似的；相关的；有血缘关系的
proposition	n.命题；建议；主张；观点v.求欢
fulsome	adj.过分恭维的；谄媚的；感谢过头的
leaven	n.发酵剂；面肥v.使更令人愉快
overlay	v.覆盖；铺；包；镀n.涂层；套图透明膜；上衬；覆盖物
arduous	adj.艰苦的；艰难的
proffer	n.贡献；提议；提供物v.端着（给…）；递上；提供（建议、解释等）
gear	n.齿轮；装置；挡；传动装置v.适合；把齿轮装上(机器等)；开动(机器等)；给…装上马具
traumatic	adj.痛苦的；极不愉快的；创伤的；外伤的n.外伤药
concomitant	n.同时发生的事；伴随（或相伴）的事物adj.相伴的
precept	n.（思想、行为的）准则
remonstrate	v.抗议；抱怨；埋怨
impasse	n.僵局；绝境
snooper	n.探听者；装有雷达的飞机
hallucination	n.幻觉；幻视（或幻听）到的东西；幻象
plasticity	n.可塑性；粘性；适应性；土壤可塑性
goad	n.激励；（赶牛等牲畜用的）尖头棒v.（不断地）招惹
grouse	n.松鸡；松鸡肉；怨言；牢骚v.抱怨；发牢骚
proofread	v.校对；校阅；勘校
idle	v.无所事事；空转；混时间；闲荡adj.懈怠的；懒惰的；闲置的；没有工作的
interrogate	v.讯问；审问；询问；盘问
carouse	n.聚饮；大喝大闹v.痛饮狂欢；狂饮作乐
retinue	n.随行人员；扈从
hoodwink	v.欺诈
pandemonium	n.骚动；群情沸腾
vainglorious	adj.自负的；自命不凡的；自吹自擂的
odious	adj.令人作呕的；令人讨厌的；可憎的
grouchy	adj.脾气不好并常发牢骚的；好抱怨的
ancestry	n.祖先；列祖列宗
pallid	adj.（尤指因病）苍白的；暗淡的；微弱的；乏味的
jaunty	adj.得意扬扬的；无忧无虑的；神气活现的；轻松活泼的n.运输船纠察长
astray	adv.迷路；堕落adj.迷途的
juxtapose	v.把…并列
coddle	v.娇惯；娇养；溺爱；（在略低于沸点的水里）煮（蛋）n.〈口〉娇生惯养的人
resuscitate	v.使苏醒；使恢复知觉
embryonic	adj.胚胎期的；萌芽期的；未成熟的；胚的
craven	adj.胆小的；胆怯的；怯懦的n.懦夫
pry	n.窥探；窥视；撬具；杆子v.打听
pitfail	n. 危险；隐患；陷阱；
smother	v.闷死；捂死；（用某物）厚厚地覆盖；抑制n.制止；窒息物；窒息状态；浓雾
barren	n.不毛之地adj.贫瘠的；不毛的；不结果实的；不育的
rapturous	adj.兴高采烈的；狂喜的；热烈的
prognosis	n.预后；预测；预言；展望
minutiae	n.细节
unreserved	adj.未被预订的；非保留的；完全的；彻底的
infiltrate	v.渗透；渗入；潜入n.渗入物
penance	n.补赎；悔罪；修和圣事；苦差事v.使苦行赎罪；处罚
daredevil	adj.鲁莽大胆的；胆大的n.胆大的人；冒失鬼
clement	n.克莱门特；【男名】男子名adj.温和的；温暖的；（对受惩罚的人）仁慈的
chastise	v.批评；指责；责备；体罚
imbibe	v.吸收；喝
cagey	adj.守口如瓶的；讳莫如深的
luminary	n.专家；权威；有影响的人物
debilitate	v.使身心衰弱；使衰竭；使虚弱；削弱（国家、机构等）的力量
dolorous	adj.悲痛的；悲哀的
oust	v.剥夺；罢免；革职
sophisticated	adj.见多识广的；老练的；见过世面的；复杂巧妙的
tumultuous	adj.嘈杂的；喧嚣的；热烈的；欢腾的
amend	v.修正
slur	n.诽谤；诋毁；污辱；连奏线v.含混不清地说话（通常因醉酒或疲劳）；连奏；连唱；诽谤
subjugate	v.征服；制伏；使屈服；使服从
quaff	v.豪饮；痛饮；开怀畅饮n.痛饮；一饮而尽的酒
mien	n.样子；外表；风度
dewy	adj.露水打湿的；带露水的
serene	v.宁静；〈诗〉使(海,脸色等)平静；使(天空)明朗adj.平静的；宁静的；安详的n.平静(的海)；〈诗,古〉晴朗(天空)
openhanded	adj.慷慨的
backslide	v.倒退；故态复萌；退步；堕落
elongate	v.拉长；(使)延长；引出adj.延长的；细长的
polestar	na.【天】北极星；指导人；指导原理；有吸引力的中心
wearisome	adj.乏味的；令人疲劳的；使人厌倦的
sanctimonious	adj.装作圣洁的；伪善的；道貌岸然的
sedulous	adj.勤勉的；孜孜不倦的；勤奋的
cacophonous	adj.粗腔横调的
reconcile	v.调和；使和谐一致；使配合；使和解
immortality	n.不朽；永生；不灭
sensual	adj.感官的；肉欲的；愉悦感官的；喜欢感官享受的
upstart	n.自命不凡的新上任者；狂妄自大的新手v.(使)突然跳起[出]；(使)暴发adj.突然出现[显赫]的
megalomaniacal	adj.妄自尊大的；患夸大狂的n.妄自尊大的人；患夸大狂的人
misinform	v.误报；误传
fuzzy	adj.覆有绒毛的；毛茸茸的；紧鬈的；拳曲的
germ	n.胚芽；细菌；病菌；胚胎v.萌芽；发生
pundit	n.专家；评论员
univocal	adj.一意的；不含糊的
pantheon	n.（一国或一个民族信仰的）众神；名流；万神庙；先贤祠
parley	v.谈判n.会谈
debacle	n.崩溃；大败；垮台；灾祸
unruffled	adj.平静的；镇定的；沉着的
unidimensional	adj.一度的；线性的
prickly	adj.多刺的；引起刺痛的；扎疼的；刺痒的
attest	v.证实；是…的证据；作证
decadence	n.颓废；堕落；贪图享乐
knotty	adj.复杂的；难以解决的；棘手的；有节的
illicit	adj.非法的；违法的；违背社会常规的；不正当的
trope	n.转义词语；比喻词语
tally	n.记录；积分表；账v.吻合；（说法、数字等）与…符合（或一致）
rivet	n.铆钉v.铆接；吸引住；（用铆钉）固定
intermingle	v.使（人、思想、色彩等）混合
pledge	n.保证；抵押；诺言；抵押品v.抵押；保证给予（或做）；正式承诺；使保证
feint	v.佯攻；装作；骗；虚晃n.假象；(诱骗敌方的)佯攻；牵制运动；伪装adj.虚假的；淡淡的
probe	n.探究；传感器；探测仪；详尽调查v.探究；追问；盘问；（用细长工具）探查
bluestocking	n.才女；卖弄知识的女性
shackle	v.束缚；给（某人）戴镣铐；阻挠；成为…的羁绊n.桎梏；脚镣；手铐；束缚(物)
intact	adj.完整；完好无损
communal	adj.（尤指居住在一起的人）共享的；（集体中）不同群体的
grandeur	n.壮丽；伟大；宏伟；高贵
reclaim	n.开垦；改造；取回；矫正v.开垦；感化；取回；拿回
lyrical	adj.抒情的
vouchsafe	v.赐予
meander	n.弯曲；漫谈；曲曲折折的路；闲聊v.蜿蜒而行；迂回曲折；漫步；闲逛
strife	n.冲突；争斗；倾轧；麻烦
adjudicate	v.评判；判决
underutilized	adj.未充分加以利用的
patrician	n.(古罗马的)贵族；(一般的)贵族；罗马帝国的地方官adj.贵族的；上流社会的
puerile	adj.愚蠢的；幼稚的；孩子气的
proactive	adj.积极主动的；主动出击的；先发制人的
retaliate	v.报复；反击；复仇
pathos	n.感染力；令人产生悲悯共鸣的力量
hail	n.冰雹；雹子；【气】雹；像雹子般落下的东西v.招呼；〈正式〉喊；捧；歌颂int.万岁
aggrieved	adj.愤愤不平的；感到受委屈的；受害的
pastoral	n.田园诗[曲,剧,画,雕刻]；牧师写给教区居民的公开信；田园景色adj.牧灵的；田园的；乡村生活的；村野风情的
beget	v.引发；成为…之父；导致
malicious	adj.怀有恶意的；恶毒的
ethos	n.（某团体或社会的）道德思想
expatiate	v.细说；漫游
rosy	adj.粉红色的；红润的；美好的；乐观的n.【女名】女子名
upshot	n.最后结果；结局
pseudonym	n.笔名；假名；化名
muddle	n.混乱；糊涂；困惑；茫然v.混淆；弄乱；搅混；使困惑
traverse	v.穿过；横过；横越；横渡n.横过；可横越的地方adj.横断的
commodious	adj.宽敞的
bohemian	adj.放浪的；波希米亚的；波希米亚语的；漂泊的n.行为举止不拘泥成规者；放荡不羁的艺术家
quackery	n.江湖医术；庸医行径
unrivaled	na.“unrivalled”的变体
audible	adj.听得见的
kinfolk	n.亲属
unbounded	adj.（似）无限的；无尽的；无穷的
defuse	v.平息；缓和；拆除（炸弹）的引信
maxim	n.格言；箴言；座右铭
indemnify	v.赔偿；保证赔偿；补偿
spearhead	n.先锋；前锋；先头部队v.做…的先锋；带头做；领先突击
unleash	v.发泄；突然释放；使爆发
clannish	adj.小集团的；宗派的；排他的
atrocious	adj.糟透的；十分讨厌的；残暴的；残忍的
grumble	v.发牢骚；咕哝；嘟囔；咕隆n.嘟囔；牢骚；咕隆声；隆隆声
antediluvian	adj.早已过时的；十分老式的n.大洪水以前的人；时代落伍者
pest	n.害虫；害兽；害鸟；讨厌的人（或物）
stellar	adj.星的；恒星的；优秀的；精彩的
entrance	n.进入；出场；通道；大门（口）v.使狂喜；使入迷
veracity	n.真实性；诚实
vernacular	n.方言；土语；（建筑的）民间风格adj.(语言等)本乡的；口语的；地方(特有)的；用地方语(土话)写的
idyll	n.田园诗；（尤指乡下的）愉快恬静的地方（或事情、经历）
frugal	adj.（对金钱、食物等）节约的；简单廉价的
equable	adj.宁静的；平和的；不易恼怒的；稳定的
elephantine	adj.庞大的；笨重的；似大象的
partition	n.划分；隔墙；部分；【逻】(把一个类别)分成部分v.分割；(用隔板等)隔开
addendum	n.（尤指书籍的）补遗
expostulate	v.争论；争执；抗议
compendium	n.（尤指书中某题材事实、图画及照片的）汇编
annihilate	v.消灭；毁灭；歼灭；彻底击败
virtual	adj.几乎…的；事实上的；虚拟的
risible	adj.可笑的；滑稽的
petrify	v.使吓呆；使惊呆；（使）石化
predispose	v.使倾向于；使受…的影响；使易于患（某种病）；容易诱发
bumble	v.笨手笨脚；跌跌撞撞n.〈英〉骄横的小官吏
pushover	n.轻易的事；容易获得的胜利；容易说服的人；耳软心活的人
extinguish	v.熄灭；扑灭；消灭；毁灭
voluminous	adj.肥大的；宽松的；用布料多的；浩繁的
circuitous	adj.迂回的；绕道的；曲折的
antedate	v.把…上的日期填早(若干时间)；把…说早；使提前；先于n.比实际早些的日期
quash	v.宣布（法庭的裁决）无效；撤销（判决）；制止；阻止
outsource	v.外包；交外办理；外购
steep	n.陡坡；泡；悬崖；浸渍液v.泡；使专心一意；(雾,烟,光等)笼罩(山野,树木等)adj.陡的；陡峭的；突然的；急剧的
arable	adj.耕作的；可耕的n.(可)耕地
pulchritudinous	adj.〈正式〉美貌的
industrious	adj.勤奋的；勤劳的；忙碌的
ameliorate	v.改进；改善；改良
comportment	n.行为；举止；表现
blindside	v.攻其不备；出其不意地袭击；使遭受意外的打击
stun	n.震惊；晕眩；〈美〉胡桃v.使昏迷；（尤指）打昏；使震惊（或惊愕、目瞪口呆）
wilt	v.蔫；变得委靡不振；发蔫；变得又累又乏auxv.〈古〉will 的第二人称单数n.(棉花)枯萎病
stomach	n.胃；腹部v.欣赏；欣然接受；喜欢和…相处；能吃
jeremiad	n.哀诉；诉求清单
soothe	v.抚慰；安慰；减轻；劝慰
turbid	adj.浑浊的；污浊不清的
juggernaut	n.重型卡车；不可抗拒的强大力量；无法控制的强大机构
immanent	adj.内在的；固有的；无所不在的
consummate	v.（初次）行房；通过性交使（婚姻或两人的关系）圆满；使完整；使完美adj.技艺高超的；完美的
foreordain	v.预先注定
vacillate	v.观点（或立场等）摇摆；动摇
insurgent	n.起义者；叛乱者；造反者adj.起义的；(波涛)汹涌澎湃的
supersede	v.取代
riposte	n.机敏的回答；巧妙的反驳；反应；回应v.敏捷回刺；机敏迅速的应对[回答]
omnivorous	adj.杂食的；（尤指）动植物都吃的；兴趣广泛的
rage	n.狂怒；暴怒；（某情况引起的）愤怒v.发怒；怒斥；猛烈地继续；激烈进行
rein	n.控制；缰绳；（幼儿佩带以防走失的）保护带；主宰v.控制；箝制；抑制(情欲等)；给(马)套上缰绳
guzzle	v.狂饮
quarry	n.菱形[方形]玻璃[石,瓦等]；知识的泉源v.(从)(书等中)苦心找出(证据等)；苦心寻找(记录等)；挖掘
ruddy	adj.红润健康的；红色的；可恶的adv.该死v.(使)变红
ferocity	n.凶猛；残暴；凶恶
fiery	adj.火一般的；火的；暴躁的；易怒的
travail	n.艰辛；艰苦劳动；煎熬；痛苦v.辛苦工作；发生[感到]阵痛
verge	v.濒临；向…倾斜；倾向n.（路边的）小草地
underpin	v.巩固；加固（墙）基
hideous	adj.十分丑陋的；令人厌恶的
rout	n.溃败；彻底失败v.彻底击败；使溃败
douse	v.浇灭（火）；熄（灯）；往…上泼水；把…浸在液体里n.泡；倾注；〈英方〉一击
wastrel	n.花花公子；浪荡子；二流子
oversee	v.监督；监视
forge	v.锻造；制定；锻炼；(坚定地)勉力前进n.锻压；锻造厂；(思想等的)锻炼；铁工厂
scalable	adj.可攀登的；可秤的；可剥去鳞片的
freeloader	n.白吃白占的人；寄生虫；爱占便宜的人
hallmark	n.特点；特征v.给…打金银纯度印记
duplication	n.复制；重复；重叠；复制品
cajole	v.哄骗；劝诱；诱骗
monstrous	adj.畸形的；恶毒的
cantankerous	adj.脾气坏且抱怨不休的
roisterer	n.摆架子的人
fissure	n.裂缝；裂隙；(思想,观点等的)分歧；【解剖学】裂纹v.(使)裂开；龟裂；破裂
hoax	n.骗局；恶作剧v.作弄；欺骗
assessment	n.评价；评定；判定；看法
gaffe	n.失礼；失态；失言
subside	v.沉降；消退；平息；减退
valorize	v.(政府)以给予各种补助的形式稳定[维持](商品)价格
tamper	n.夯；(爆破孔)填塞人；捣固者；(中子)反射器v.干扰；窜改(遗嘱,稿件等)；贿赂
retract	v.撤回；缩回；撤销；拉回
resplendent	adj.辉煌的；灿烂的；华丽的
preternatural	adj.不寻常的；超自然的；难以解释的
avant-garde	adj.先锋派的；先锋的n.（艺术、音乐或文学方面的）前卫派思想；前卫派（艺术家等）
genealogy	n.家谱学；系谱学；宗谱学；家谱（图）
lambent	adj.(火焰等)在燃烧中；(眼睛等)微亮的；发柔光的；(诙谐等)巧妙的
backfire	n.回火；(故意引燃以阻止野火蔓延的)迎火；(摩托车的)放气声v.回火；产生事与愿违的不良（或危险）后果；逆火
fatalism	n.宿命论
wile	n.奸计；欺骗v.消磨(时间)
veil	n.面罩；掩饰；掩盖；（修女的）头巾v.掩饰；戴面纱；戴面罩；遮掩
brash	n.【医】胃灼热；阵雨；(岩石等的)碎片；碎冰块adj.盛气凌人的；自以为是的；耀眼的；嘈杂的
assay	v.试验；化验；企图；经验明含有n.含量测定
overeager	adj.过于热切的
expatriate	v.移居国外；把…逐出国外；放弃国籍n.侨民；居住在国外的人adj.被逐出国外的
hearsay	n.传闻adj.风闻的
protagonist	n.主角；（比赛、斗争中的）主要人物；（政策、运动的）倡导者
ferment	n.酶；激动；热情；巨浪v.(使)发酵；(使)激动；孕育
digest	n.摘要；文摘；概要；汇编v.消化；领会；领悟；理解
woo	v.求爱；争取…的支持；寻求…的赞同；追求（异性）
tempestuous	adj.激烈的；狂暴的；骚动的；狂风暴雨的
stake	n.股份；桩；赌注；火刑柱v.拿…冒险；用桩支撑
carp	n.鲤鱼 v.吹毛求疵；抱怨；唠叨
spiteful	adj.恶意的；居心不良的；故意使人苦恼的
skullduggery	n.〈美口〉欺骗；卑鄙的行为
dovish	adj.温和派的；鸽派的
plenitude	n.大量；充裕；众多
counterfeit	v.假冒；摹仿；装出…的样子；活象n.冒牌货；伪品；伪币；伪作adj.仿造的；虚伪的
perch	n.高位；(鸟的) 栖木；〈非正式〉高处；(位于高位的)休息处v.坐；(鸟)栖息；停歇；(某人)歇息
flummery	n.废话；（尤指）无聊（或虚假）的恭维话
infringe	v.侵犯；违背
intersect	v.相交；交叉；横穿；贯穿
parody	n.滑稽模仿作品（文章、音乐作品或表演等的滑稽模仿）；拙劣的模仿v.滑稽地模仿；夸张地演绎
meld	v.结合
indubitable	adj.不容置疑的
liminal	adj.【心】阈限的
relegate	v.使贬职；使降级；降低…的地位；使（运动队，尤指足球队）降级
concur	v.同意；赞同
replenish	v.补充；重新装满
rile	v.惹恼；激怒
surrealism	n.超现实主义
reshuffle	v.改组；进行岗位调整；更改职责配置n.〈比喻〉(政府等的)改组；重新配置；(牌的)重洗
